StageGroup_15940_Desc,aRcZ,g关卡组_StageGroup_A.csv,42,StageGroup,Desc,,成为天才药理师的第一步。,天才薬師へ至る道の第一歩。,
StageGroup_15940_Name,aRda,g关卡组_StageGroup_A.csv,42,StageGroup,Name,,制剂淬炼,薬剤収集,
StageGroup_15940_StageGroupRewardDescription,aRdb,g关卡组_StageGroup_A.csv,42,StageGroup,StageGroupRewardDescription,,<Black:灵知制剂>,<Black:霊知の薬剤>,
StageGroup_15940_TypeText,aRdc,g关卡组_StageGroup_A.csv,42,StageGroup,TypeText,,制剂淬炼,薬剤収集,
StageGroup_15951_Desc,aRdR,g关卡组_StageGroup_A.csv,43,StageGroup,Desc,,与隐秘有关或无关的生活，都离不开蔷薇金券。\n常人无法居住的融蚀废墟中，或许藏有价值连城的宝物。,秘密に関わろうと関わるまいと、人生は常に薔薇金券と共にある。\n人を拒む融触の廃墟には価値ある宝物が残されているかもしれない。,
StageGroup_15951_Name,aRdS,g关卡组_StageGroup_A.csv,43,StageGroup,Name,,金券搜查,金券捜索,
StageGroup_15951_StageGroupRewardDescription,aRdT,g关卡组_StageGroup_A.csv,43,StageGroup,StageGroupRewardDescription,,<Black:蔷薇金券>,<Black:薔薇金券>,
StageGroup_15951_TypeText,aRdU,g关卡组_StageGroup_A.csv,43,StageGroup,TypeText,,金券搜查,金券捜索,
StageGroup_15936_Desc,aRcJ,g关卡组_StageGroup_A.csv,44,StageGroup,Desc,,早在群星诞生之前，它们便存在于此。\n它们既是虚无，也是一切。,星々が生まれる遥か前から、それらはここに存在した。\n混沌とは「無」であり、同時に「全」でもある。,
StageGroup_15936_Name,aRcK,g关卡组_StageGroup_A.csv,44,StageGroup,Name,,浑浊残像,混濁の残像,
StageGroup_15936_StageGroupRewardDescription,aRcL,g关卡组_StageGroup_A.csv,44,StageGroup,StageGroupRewardDescription,,<Black:升格素材>,<Black:昇格素材>,
StageGroup_15936_TypeText,aRcM,g关卡组_StageGroup_A.csv,44,StageGroup,TypeText,,浑浊残像,混濁の残像,
StageGroup_15915_Desc,aRbd,g关卡组_StageGroup_A.csv,45,StageGroup,Desc,,它们无言地守护着海洋的秘密，灵魂和宇宙一样深沉。,それらは海の秘密を無言で守る。その魂は宇宙のように深い。,
StageGroup_15915_Name,aRbe,g关卡组_StageGroup_A.csv,45,StageGroup,Name,,海渊残像,海底の残像,
StageGroup_15915_StageGroupRewardDescription,aRbf,g关卡组_StageGroup_A.csv,45,StageGroup,StageGroupRewardDescription,,<Black:升格素材>,<Black:昇格素材>,
